technical_interests,interests,non_technical_interests,achievements,career
networking,innovation,fashion,grants,11
web development,innovation,gaming,recognition,31
computer vision,science,space,scholarships,19
computational biology,animals,law,leadership roles,37
statistics,innovation,design,grants,10
natural language processing,languages,technology,recognition,5
AR/VR,philosophy,photography,hackathon wins,19
ux/ui,traveling,economics,recognition,24
data visualization,cooking,economics,science fair awards,20
networking,history,architecture,travel experiences,15
chemistry,entrepreneurship,space,robotics competition wins,16
software testing,social media,animals,scholarships,21
operating systems,fashion,education,business ventures,16
AR/VR,gaming,cooking,volunteer work,17
robotics,social media,literature,hackathon wins,32
mobile app development,sociology,education,charity work,15
problem solving,social media,entrepreneurship,artistic accomplishments,40
ux/ui,social media,medicine,charity work,36
data visualization,art,politics,hackathon wins,10
big data,languages,languages,philanthropic work,36
mechanics,history,medicine,cultural exchange programs,40
geographic information systems,health,health,business ventures,26
mathematics,business,leadership,entrepreneurial ventures,2
data visualization,creativity,politics,internship experiences,33
mobile app development,human rights,technology,performances,10
digital logic design,art,leadership,business ventures,37
networking,science,sociology,recognition,12
ux/ui,video editing,literature,volunteer work,40
mobile app development,finance,creativity,scientific research awards,19
quantum computing,politics,music,social initiatives,23
data visualization,anatomy,management,community service awards,3
machine learning,cooking,traveling,charity work,20
big data,space,fashion,charity work,40
biology,business,chemistry,fundraising efforts,38
coding,entrepreneurship,space,publications,22
3D printing,animals,finance,coding competition wins,5
digital logic design,technology,space,recognition,27
software testing,social media,economics,debate competition wins,34
game development,anatomy,economics,patents,24
logical thinking,video editing,entrepreneurship,artistic accomplishments,14
geographic information systems,human rights,leadership,patents,34
robotics,philosophy,literature,certifications,38
blockchain,music,technology,startups,31
3D printing,design,history,entrepreneurial ventures,24
statistics,cooking,geography,awards,5
digital logic design,traveling,technology,musical achievements,9
chemistry,volunteering,gaming,charity work,19
logical thinking,cooking,health,social media influence,34
chemistry,nature,business,scientific research awards,16
physics,anatomy,photography,artistic accomplishments,38
algorithm design,education,health,community service awards,38
computational biology,philosophy,space,certifications,36
bioinformatics,design,space,social media influence,33
ux/ui,social media,gaming,leadership roles,15
computational biology,design,nature,philanthropic work,40
IoT,health,writing,debate competition wins,8
bioinformatics,design,art,leadership roles,12
computational biology,photography,history,social initiatives,3
cybersecurity,sports,cooking,scholarships,8
cybersecurity,creativity,history,environmental initiatives,23
bioinformatics,politics,sociology,coding competition wins,40
electronics,nature,literature,social initiatives,10
logical thinking,education,entrepreneurship,hackathon wins,40
cloud computing,technology,business,entrepreneurial ventures,1
big data,education,gaming,charity work,9
quantum computing,animals,economics,academic excellence,30
problem solving,fitness,mathematics,mathematics competition wins,7
mathematics,technology,gaming,academic excellence,32
game development,gaming,architecture,philanthropic work,26
electronics,music,culture,performances,14
game development,cooking,innovation,cultural exchange programs,24
computer architecture,media and communications,culture,coding competition wins,8
coding,human rights,medicine,hackathon wins,32
IoT,finance,fashion,scientific research awards,6
data visualization,environmental sustainability,business,hackathon wins,40
computational biology,fitness,architecture,philanthropic work,25
software testing,sports,medicine,science fair awards,15
physics,human rights,fashion,debate competition wins,38
chemistry,design,cooking,social media influence,28
machine learning,literature,law,scholarships,28
software testing,philosophy,traveling,robotics competition wins,12
networking,media and communications,architecture,artistic accomplishments,18
data analysis,science,innovation,startups,23
digital logic design,gaming,law,startups,14
mobile app development,education,management,certifications,30
database management,entrepreneurship,cooking,literary awards,11
geographic information systems,video editing,innovation,public speaking awards,30
big data,anatomy,fashion,social media influence,35
electronics,science,nature,environmental initiatives,16
logical thinking,anatomy,mathematics,special projects,19
natural language processing,languages,languages,internship experiences,34
cloud computing,nature,management,business ventures,6
IoT,space,space,publications,19
